# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    dta     data/cleaned/cde/enr/enr_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/enr/enr_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/enr/enr_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/enr/enr_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/enr/enr_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/enr/enr_2019_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/enr/enr_2020_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/enr/enr_2020_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/frpm/frpm_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/frpm/frpm_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/frpm/frpm_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/frpm/frpm_2014_clean.dta
PASS                    full    dta     data/cleaned/cde/frpm/frpm_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/frpm/frpm_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/frpm/frpm_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/frpm/frpm_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/frpm/frpm_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/frpm/frpm_2019_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/frpm/frpm_2020_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/frpm/frpm_2020_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffcred/staffcred_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffcred/staffcred_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffcred/staffcred_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffcred/staffcred_2014_clean.dta
PASS                    full    dta     data/cleaned/cde/staffcred/staffcred_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffcred/staffcred_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffcred/staffcred_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffcred/staffcred_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffcred/staffcred_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffcred/staffcred_2019_clean.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/cde/staffcred/staffcred_2020_clean.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffcred/staffcred_2020_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffdemo/staffdemo_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffdemo/staffdemo_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffdemo/staffdemo_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffdemo/staffdemo_2014_clean.dta
PASS                    full    dta     data/cleaned/cde/staffdemo/staffdemo_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffdemo/staffdemo_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffdemo/staffdemo_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffdemo/staffdemo_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffdemo/staffdemo_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffdemo/staffdemo_2019_clean.dta
